Modelo de colisao|repeticao|simulacao|nó sensor|PRR
1|25|0.2|nó 1|83.6946
1|26|0.2|nó 1|85.1951
1|27|0.2|nó 1|84.39479999999999
1|28|0.2|nó 1|87.0624
1|29|0.2|nó 1|85.42850000000001
1|30|0.2|nó 1|85.0283
1|31|0.2|nó 1|85.7333
1|32|0.2|nó 1|85.22840000000001
1|33|0.2|nó 1|86.7623
1|34|0.2|nó 1|85.6619
1|35|0.2|nó 1|85.1284
1|36|0.2|nó 1|85.3951
1|37|0.2|nó 1|85.6619
1|38|0.2|nó 1|85.3618
1|39|0.2|nó 1|84.32809999999999
1|40|0.2|nó 1|84.32809999999999
1|41|0.2|nó 1|85.1284
1|42|0.2|nó 1|86.56219999999999
1|43|0.2|nó 1|85.3284
1|44|0.2|nó 1|85.5952
1|45|0.2|nó 1|84.09469999999999
1|46|0.2|nó 1|85.0283
1|47|0.2|nó 1|84.19469999999998
1|48|0.2|nó 1|85.56190000000001
1|49|0.2|nó 1|84.2333
1|50|0.2|nó 1|84.86160000000001
1|51|0.2|nó 1|85.52850000000001
1|52|0.2|nó 1|86.49549999999999
1|53|0.2|nó 1|86.6289
1|54|0.2|nó 1|85.56190000000001
